restaurant_id,restaurant_name,restaurant_type,Rating,num_of_ratings,avg_cost,online_order,table_booking,cuisines_type,area,local_address
1001,#FeelTheROLL,Quick Bites,3.4,7,200,No,No,Fast Food,Bellandur,Bellandur
1002,#L-81 Cafe,Quick Bites,3.9,48,400,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR
1003,#refuel,Cafe,3.7,37,400,Yes,No,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road
1004,@ Biryani Central,Casual Dining,2.7,135,550,Yes,No,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli
1005, The Bbq,Casual Dining,2.8,40,700,Yes,No,"BBQ, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur
1006,99Cafe,"Takeaway, Delivery",3.4,37,200,No,No,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield
1007,'@Italy,Casual Dining,4.1,305,700,Yes,No,Italian,Banashankari,Kumaraswamy Layout
1008,'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300,No,No,North Indian,Indiranagar,Old Airport Road
1009,1000 B.C,Quick Bites,3.2,49,300,Yes,No,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1010,100Cafe,Casual Dining,3.7,41,450,No,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM
1011,11 to 11 Express Biriyanis,Quick Bites,3.5,22,300,Yes,No,"Biryani, Kebab",Electronic City,Electronic City
1012,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500,No,Yes,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar
1013,12th Main - Grand Mercure,Fine Dining,4.1,353,2000,No,Yes,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
1014,1441 Pizzeria,Casual Dining,4.1,119,800,Yes,No,"Pizza, Salad",Basavanagudi,JP Nagar
1015,1522 - The Pub,Pub,4.2,1731,1400,Yes,No,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram
1016,154 Breakfast Club,Cafe,4,1509,900,Yes,Yes,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
1017,1722 Urban Bistro,Casual Dining,4.1,218,600,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1018,18+ Ice Cafe,Cafe,3.5,24,550,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli
1019,1947,Casual Dining,3.9,620,1000,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar
1020,1980s Games Cafe,Cafe,3.4,58,400,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi
1021,1992 Chats - Space,Quick Bites,3.7,33,200,Yes,No,Street Food,Malleshwaram,Rajajinagar
1022,1Q1,"Casual Dining, Bar",4.3,595,2500,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road
1023,1TO3 Kitchen,Delivery,3.1,11,800,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli
1024,2 Statez,Casual Dining,3.7,209,600,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar
1025,20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4,419,1400,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road
1026,20 Feet High,"Casual Dining, Bar",4,932,1000,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street
1027,21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000,No,No,Continental,Basavanagudi,Jayanagar
1028,24 Carats - The Capitol,Casual Dining,3.1,46,1000,No,No,"Asian, Continental",Brigade Road,Cunningham Road
1029,24 Hours Cake Delivery,Delivery,3.3,4,700,No,No,Bakery,Indiranagar,Old Airport Road
1030,24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800,No,No,Cafe,Electronic City,Electronic City
1031,24/7 - The Lalit Ashok Bangalore,Fine Dining,4,344,3000,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram
1032,24/7 Food Service,"Takeaway, Delivery",2.9,7,300,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar
1033,24@43 - The Oterra,Fine Dining,4.1,268,3000,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City
1034,24th Main,Casual Dining,4.1,1234,800,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar
1035,29 Degrees North,Quick Bites,3.9,283,250,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi
1036,2nd Home Restaurant,Quick Bites,3.7,21,500,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
1037,3 Leafs,Casual Dining,3.7,128,600,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura
1038,3 Spice,Casual Dining,3.9,156,450,Yes,No,"North Indian, Chinese",Koramangala 7th Block,Wilson Garden
1039,30 Square,Quick Bites,4.2,556,400,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
1040,360 Atoms Restaurant And Cafe,Cafe,3.1,13,400,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari
1041,36th Cross Coffee Mane,Casual Dining,3.7,29,500,No,No,"North Indian, Chinese",JP Nagar,BTM
1042,37 China Town,Casual Dining,3.5,58,900,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road
1043,"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100,No,Yes,"North Indian, Mediterranean, European, BBQ","Byresandra,Tavarekere,Madiwala",BTM
1044,3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram
1045,3rd Innings,"Casual Dining, Bar",3,17,1000,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City
1046,4 Mangoes,Kiosk,3.7,14,200,No,No,Ice Cream,Indiranagar,Old Airport Road
1047,4 Seasons Restaurant,Casual Dining,3.7,399,1000,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar
1048,4 States,Food Court,3.2,4,400,No,No,South Indian,Sarjapur Road,Bellandur
1049,46 Ounces Brewgarden,Microbrewery,2.8,40,1600,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City
1050,4700BC Popcorn,"Takeaway, Delivery",4.1,55,500,No,No,Fast Food,Whitefield,Whitefield
1051,4Foodiez,Quick Bites,3.6,82,300,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City
1052,4Foodiez - The Restaurant,Quick Bites,3,23,400,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City
1053,4K Biryani,Delivery,3.3,4,700,Yes,No,"North Indian, Chinese",HSR,HSR
1054,4th Tea Block,Cafe,4,62,150,No,No,Cafe,Basavanagudi,Jayanagar
1055,5 Star Food,Quick Bites,2.8,40,300,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli
1056,50-50 EATING HOUSE,Quick Bites,3.2,4,100,No,No,"South Indian, Biryani",Banashankari,Basavanagudi
1057,52 Wall Street,"Bar, Casual Dining",3.9,737,1400,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
1058,55 Wall Street,Bar,3.9,1763,1300,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,JP Nagar
1059,56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150,No,No,"Mithai, Street Food",HSR,HSR
1060,5th Main Cafe,Cafe,3.5,15,250,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",HSR
1061,7 Days Restaurant,Quick Bites,3.8,478,400,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City
1062,7 Degrees North,Casual Dining,3.5,11,500,No,No,North Indian,HSR,HSR
1063,7 Hills Andhra Mess,Mess,3.4,8,300,No,No,Andhra,Indiranagar,CV Raman Nagar
1064,7 Plates,Casual Dining,3.5,531,600,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar
1065,7 Shanghai,Quick Bites,3.5,18,250,Yes,No,Chinese,Electronic City,Electronic City
1066,7 Spice,Quick Bites,3.4,5,250,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi
1067,7 to 11 Food Court,Quick Bites,3.7,16,200,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi
1068,70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road
1069,7Biryanis,Casual Dining,3.2,4,600,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara
1070,7th Heaven,Bakery,3.6,17,300,No,No,"Bakery, Desserts",New BEL Road,New BEL Road
